Task_Name,Importance,Effort,Days_Left,Priority
Write Proposal,4,6,1,High
Review Budget,3,4,5,Medium
Update Website,5,8,2,High
Schedule Meeting,2,1,7,Low
Analyze Data,4,5,3,Medium
Draft Email,1,2,10,Low
Design Logo,5,7,0,High
Test Software,3,6,4,Medium
Plan Event,4,9,2,High
Organize Files,2,3,12,Low
Call Client,3,2,6,Medium
Prepare Presentation,5,5,1,High
Conduct Survey,2,4,8,Low
Edit Video,4,7,3,Medium
Submit Report,5,6,0,High
Train Staff,3,5,5,Medium
Order Supplies,1,2,9,Low
Create Infographic,4,6,2,High
Check Inventory,2,3,11,Low
Write Blog Post,3,4,4,Medium
Attend Workshop,2,3,7,Low
Develop App,5,10,1,High
Update Database,3,5,6,Medium
Review Contract,4,4,2,High
Send Invoice,1,1,10,Low
Plan Marketing,4,8,3,Medium
Fix Bug,5,6,0,High
Research Market,3,5,5,Medium
Design Poster,4,6,1,High
Clean Workspace,1,2,12,Low
Schedule Review,2,2,8,Low
Write Memo,3,3,4,Medium
Test Prototype,4,7,2,High
Update Profile,1,1,9,Low
Plan Budget,5,8,1,High
Call Vendor,2,2,7,Low
Draft Policy,4,5,3,Medium
Review Feedback,3,4,6,Medium
Create Survey,2,3,10,Low
Design Brochure,4,6,2,High
Check Compliance,3,5,5,Medium
Send Reminder,1,1,11,Low
Plan Training,4,7,1,High
Update Records,2,3,8,Low
Write Article,3,5,4,Medium
Test Feature,5,6,0,High
Organize Event,4,8,2,High
Review Code,3,5,6,Medium
Order Equipment,2,2,9,Low
Create Report,4,6,3,Medium
Plan Campaign,5,9,1,High
Call Team,1,1,10,Low
Design Layout,4,7,2,High
Check Metrics,3,4,5,Medium
Send Newsletter,2,3,8,Low
Write Script,4,6,1,High
Test System,3,5,4,Medium
Plan Meeting,2,2,7,Low
Update Manual,4,6,3,Medium
Review Plan,5,7,0,High
Organize Data,2,3,9,Low
Draft Proposal,3,5,5,Medium
Design Banner,4,6,2,High
Check Reports,1,2,11,Low
Schedule Call,2,1,8,Low
Write Summary,3,4,4,Medium
Test App,4,7,1,High
Update Schedule,2,3,10,Low
Plan Project,5,8,2,High
Call Customer,1,1,9,Low
Design Flyer,4,6,3,Medium
Review Data,3,5,5,Medium
Send Update,2,2,7,Low
Write Review,4,5,1,High
Test Update,3,6,4,Medium
Organize Meeting,2,2,8,Low
Plan Workshop,4,7,2,High
Update Website,5,8,0,High
Check Logs,1,3,10,Low
Draft Report,3,5,6,Medium
Design Ad,4,6,2,High
Schedule Task,2,1,9,Low
Write Email,3,3,4,Medium
Test Module,4,7,1,High
Organize Records,2,3,8,Low
Plan Event,5,9,2,High
Call Supplier,1,1,10,Low
Design Graphic,4,6,3,Medium
Review Metrics,3,5,5,Medium
Send Report,2,2,7,Low
Write Post,4,5,1,High
Test Code,3,6,4,Medium
Organize Files,2,2,8,Low
Plan Review,4,7,2,High
Update System,5,8,0,High
Check Data,1,3,10,Low
Draft Memo,3,4,6,Medium
Design Cover,4,6,2,High
Schedule Meeting,2,1,9,Low
Write Blog,3,5,4,Medium
Test Feature,4,7,1,High
Organize Data,2,3,8,Low
Plan Campaign,5,9,2,High
Call Client,1,1,10,Low
Design Poster,4,6,3,Medium
Review Report,3,5,5,Medium
Send Email,2,2,7,Low
Write Article,4,5,1,High
Test System,3,6,4,Medium
Organize Event,2,2,8,Low
Plan Training,4,7,2,High
Update Records,5,8,0,High
Check Logs,1,3,10,Low
Draft Policy,3,4,6,Medium
Design Flyer,4,6,2,High
Schedule Call,2,1,9,Low
Write Summary,3,5,4,Medium
Test App,4,7,1,High
Update Schedule,2,3,8,Low
Plan Project,5,9,2,High
Call Vendor,1,1,10,Low
Design Layout,4,6,3,Medium
Review Data,3,5,5,Medium
Send Update,2,2,7,Low
Write Review,4,5,1,High
Test Update,3,6,4,Medium
Organize Meeting,2,2,8,Low
Plan Workshop,4,7,2,High
Update Website,5,8,0,High
Check Metrics,1,3,10,Low
Draft Report,3,5,6,Medium
Design Ad,4,6,2,High
Schedule Task,2,1,9,Low
Write Email,3,3,4,Medium
Test Module,4,7,1,High
Organize Records,2,3,8,Low
Plan Event,5,9,2,High
Call Supplier,1,1,10,Low
Design Graphic,4,6,3,Medium
Review Metrics,3,5,5,Medium
Send Report,2,2,7,Low
Write Post,4,5,1,High
Test Code,3,6,4,Medium
Organize Files,2,2,8,Low
Plan Review,4,7,2,High
Update System,5,8,0,High
Check Data,1,3,10,Low
Draft Memo,3,4,6,Medium
Design Cover,4,6,2,High
Schedule Meeting,2,1,9,Low
Write Blog,3,5,4,Medium
Test Feature,4,7,1,High
Organize Data,2,3,8,Low
Plan Campaign,5,9,2,High
Call Client,1,1,10,Low
Design Poster,4,6,3,Medium
Review Report,3,5,5,Medium
Send Email,2,2,7,Low
Write Article,4,5,1,High
Test System,3,6,4,Medium
Organize Event,2,2,8,Low
